id,imdb_id,judul,ringkasan,popularitas,kategori_dewasa,durasi,pendapatan,biaya_pembuatan,tanggal_rilis,jumlah_vote,rerata_vote,jumlah_pemeran,genre_1,genre_2,genre_3,genre_4,negara_1,negara_2,negara_3,negara_4,perusahaan_1,perusahaan_2,perusahaan_3,perusahaan_4,jumlah_terjemahan,pemeran_utama_1,pemeran_utama_2,pemeran_utama_3,pemeran_utama_4,pemeran_utama_5,rata2_pop_pemeran
683328,tt15528292,The Big 4,Seorang detektif wanita bekerja sama dengan empat pembunuh bayaran untuk menyelidiki pembunuhan ayahnya.,875.115,False,141,0,0,2022-12-19,83,6.952,25,28.0,35.0,80.0,,ID,,,,138594.0,,,,26,1203378.0,1891479.0,1916568.0,1488899.0,2752309.0,2.30412
180299,tt2265171,The Raid 2: Berandal,"RAMA (Iko Uwais) adalah seorang polisi baru yang meninggalkan ISA, istrinya yang tengah hamil tua untuk melakukan tugas berbahaya. Setelah berhasil mempertahankan dirinya dari 30 lantai apartemen milik raja gembong narkotik TAMA, RAMA direkrut oleh BUNAWAR, kepala polisi yang dikenal jujur dan mempunyai reputasi yang bersih, sebagai polisi yang menyamar.",30.099,False,150,6566916,4500000,2014-03-27,1996,7.629,60,28.0,80.0,53.0,,ID,US,,,58.0,11341.0,12141.0,12142.0,32,113732.0,1290939.0,1155281.0,1154465.0,142018.0,2.0396499999999973
925786,tt16915972,Pengabdi Setan 2: Communion,"Beberapa tahun setelah berhasil menyelamatkan diri dari kejadian mengerikan yang membuat mereka kehilangan ibu dan si bungsu Ian, Rini dan adik-adiknya, Toni dan Bondi, serta Bapak tinggal di rumah susun karena percaya tinggal di rumah susun aman jika terjadi sesuatu karena ada banyak orang. Namun, mereka segera menyadari bahwa tinggal bersama banyak orang mungkin juga sangat berbahaya, jika mereka tidak sangat mengenali siapa saja yang menjadi tetangga mereka. Pada sebuah malam penuh teror, Rini dan Keluarganya harus kembali menyelamatkan diri. Tapi kali ini, mungkin sudah terlambat untuk lari.",44.238,False,119,0,0,2022-08-04,27,7.4,34,18.0,27.0,9648.0,,ID,,,,7872.0,72491.0,104946.0,,10,1154466.0,562217.0,581687.0,1150391.0,1873239.0,2.2489411764705878
94329,tt1899353,Serbuan Maut,"ekelompok tim SWAT tiba di sebuah blok apartemen yang tidak terurus dengan misi menangkap pemiliknya seorang raja bandar narkotik bernama TAMA. Blok ini tidak pernah digerebek atau pun tersentuh oleh Polisi sebelumnya.",26.744,False,101,9148519,1100000,2012-03-23,2869,7.422,50,28.0,53.0,80.0,,FR,ID,US,,58.0,860.0,11341.0,12141.0,32,113732.0,592496.0,1202416.0,142019.0,1001665.0,1.508419999999999
467012,tt7076834,Pengabdi Setan,"Setelah Rini ditinggal mati ibunya, ada sesuatu peristiwa yang terus menganggu keluarga mereka.",19.74,False,107,0,147983,2017-09-28,204,6.8,15,27.0,18.0,9648.0,,ID,KR,,,7036.0,7872.0,,,23,1154466.0,581687.0,1873239.0,1873241.0,1873242.0,3.1154
835294,tt21116308,Keramat 2: Caruban Larang,,8.509,False,94,0,0,2022-11-24,3,5.5,14,27.0,,,,ID,,,,14140.0,106880.0,,,1,1916568.0,2110619.0,3612949.0,1817166.0,2069785.0,2.0562142857142858
858815,tt13729220,Penyalin Cahaya,,19.844,False,130,0,0,2021-10-08,229,7.0,22,18.0,9648.0,53.0,,ID,,,,78915.0,158651.0,,,17,2273538.0,1916568.0,1893305.0,2367270.0,1832871.0,1.954909090909091
403605,tt5147214,Headshot,"Pemuda misterius bangun tersentak dari keadaan koma selama berbulan-bulan, dirawat hingga pulih oleh seorang murid kedokteran bernama Ailin ketika ditemukan sekarat dengan sebuah luka tembakan di kepala. Seperti sebuah kelahiran baru dan, menyadari pemuda ini telah kehilangan ingatan dan indentitas dirinya, Ailin menamakan pemuda tersebut Ishmael.",14.781,False,117,0,0,2016-09-24,373,6.444,15,28.0,53.0,80.0,,ID,,,,87477.0,,,,25,113732.0,1454165.0,1297561.0,145882.0,1829913.0,4.4746
503902,tt7981492,Sabrina,"MAIRA hidup bahagia di pernikahan barunya bersama AIDEN, pembuat boneka Sabrina. Tapi kebahagiaan mereka belum sempurna karena VANYA, anak angkat sekaligus keponakan Aiden yang yang piatu belum bisa menerima kehadiran Maira sebagai ibunya karena Vanya masih belum bisa merelakan kepergian ANDINI, bundanya yang sudah meninggal. Suatu hari, Vanya melakukan permainan ‘Pensil Charlie’ untuk memanggil bundanya dan kejanggalan-kejanggalan pun mulai terjadi. Maira dan Aiden Adak percaya, hingga akhirnya Maira mengalami serentetan kejadian menakutkan dan mereka melihat sendiri sosok Andini. Maira pun memanggil BU LARAS, seorang paranormal yang dulu pernah membantunya. Tapi Andini ternyata bukanlah Andini, melainkan iblis keji bernama BAGHIAH yang menetap di boneka Sabrina dan menginginkan tubuh manusia",16.491,False,98,0,0,2018-07-12,160,5.4,17,27.0,53.0,,,ID,MY,SG,,29666.0,,,,13,1154464.0,1157417.0,1680930.0,1747106.0,1683230.0,1.190823529411765
449992,tt6116856,The Night Comes for Us,Seorang tukang pukul bernama Ito (Joe Taslim) kembali ke keluarga kriminalnya di Jakarta setelah bekerja dengan sebuah Triad Asia Tenggara yang kejam. Dia terperangkap dalam sebuah intrik pengkhianatan dan kekacauan saat Triad tersebut memulai sebuah kampanye berdarah untuk ekspansi teritorial mereka.,17.321,False,121,0,0,2018-10-05,563,6.8,18,28.0,53.0,80.0,,ID,,,,12142.0,87477.0,,,29,592496.0,113732.0,145882.0,1297561.0,1789948.0,4.744777777777778
