id,nama,nama_asli,id_film,karakter,popularitas
1203378,Abimana Aryasatya,Abimana Aryasatya,683328,Topan,3.238
1891479,Putri Marino,Putri Marino,683328,Dina,3.238
1916568,Lutesha,Lutesha,683328,Alpha,12.992
1488899,Arie Kriting,Arie Kriting,683328,Jenggo,1.486
2752309,Kristo Immanuel,Kristo Immanuel,683328,Pelor,2.724
1795562,Marthino Lio,Marthino Lio,683328,Antonio Sandoval/Suranto,3.792
3627024,Michelle Tahalea,Michelle Tahalea,683328,Alo,0.811
2083051,Michael Kho,Michael Kho,683328,Lengko/Vinsen,1.928
1202402,Donny Damara,Donny Damara,683328,Hassan,0.653
1604482,Budi Ros,Budi Ros,683328,Petrus,1.788
2118793,Gilbert Pattiruhu,Gilbert Pattiruhu,683328,Don,0.6
2371450,M. Yusuf Ozkan,M. Yusuf Ozkan,683328,Anak Panti,0.6
2057255,Willem Bevers,Willem Bevers,683328,Pak Syarief,3.095
1830161,Andri Mashadi,Andri Mashadi,683328,Rudha,1.914
1645839,Adjie Nur Ahmad,Adjie Nur Ahmad,683328,Bunglon,0.728
2458981,Rita Matumona,Rita Matumona,683328,Suster,1.4
1028466,Marsha Timothy,Marsha Timothy,683328,Lady Zero,11.016
1323505,Sapto Soetardjo,Sapto Soetardjo,683328,Dokter,1.4
2304050,Messi Gusti,Messi Gusti,683328,Dina kecil,0.6
2223258,Putri Adam,Putri Adam,683328,Ibu Pengurus Panti,0.6
3317846,Lily Suardi,Lily Suardi,683328,Ibu RT,0.6
3649349,Arya Bima,Arya Bima,683328,Opung Baba,0.6
2694807,Khafi Maheza,Khafi Maheza,683328,News Reporter,0.6
2781195,Novi Rahmat Hidayat,Novi Rahmat Hidayat,683328,Kekar,0.6
2209409,M. Fajar Nugra,M. Fajar Nugra,683328,Fotografer,0.6
113732,Iko Uwais,Iko Uwais,180299,Rama,15.672
1290939,Arifin Putra,Arifin Putra,180299,Ucok,0.776
1155281,Tio Pakusadewo,Tio Pakusadewo,180299,Bangun,1.446
1154465,Oka Antara,Oka Antara,180299,Eka,5.902
142018,Alex Abbad,Alex Abbad,180299,Bejo,2.717
1379749,Cecep Arif Rahman,Cecep Arif Rahman,180299,The Assassin,7.914
145882,Julie Estelle,Julie Estelle,180299,"Alicia ""Hammer Girl""",11.178
1304642,Very Tri Yulisman,Very Tri Yulisman,180299,Baseball Bat Man,4.354
72932,Ryuhei Matsuda,Ryuhei Matsuda,180299,Keiichi,5.573
35642,Kenichi Endo,Kenichi Endo,180299,Hideaki Goto,2.601
2542,Kazuki Kitamura,Kazuki Kitamura,180299,Ryuichi,6.39
142019,Yayan Ruhian,Yayan Ruhian,180299,Prakoso,3.917
1379748,Cok Simbara,Cok Simbara,180299,Bunawar,0.716
1307923,Roy Marten,Roy Marten,180299,Reza,0.657
1180616,Epy Kusnandar,Epy Kusnandar,180299,Topan,1.388
1679986,Zack Lee,Zack Lee,180299,Benny,3.275
