id,nama,negara_asal
25,20th Century Fox,US
58,Sony Pictures Classics,US
789,Pallas Film,DE
860,Celluloid Dreams,FR
3052,Troma Entertainment,US
3405,MediaCorp Raintree Pictures,SG
4091,Rexinema,
5344,MD Pictures,ID
5721,Phoenix Films,
5805,Studio Aoi,JP
7036,CJ Entertainment,KR
7306,The Match Factory,DE
7872,Rapi Films,ID
8237,GMA Films,PH
8356,Viva Films,PH
8815,R & R Films,
8818,Vincent Pictures,
9120,Spring Films,GB
10264,Clockwork FIlms,IN
10657,Maxima Pictures,ID
10658,Unlimited Production,
11240,PISF,PL
11341,Stage 6 Films,US
11376,NHK Enterprises,JP
12141,Pt. Merantau Films,ID
12142,XYZ Films,US
12529,Film One Productions,
12787,Parkit Films,
13498,Margate House Films,
14140,Starvision Plus,ID
14446,Infinite Studios,ID
14604,Spectrum Films,AU
14871,New York University (NYU),US
15868,Medusa Distribuzione,IT
16514,Soraya Intercine Films,ID
16519,Dreamscape Picture,
16547,Puskat Pictures,
16614,MVP Pictures,ID
17365,Zhao Wei Films,SG
17701,Jakarta Institute of the Arts,
18829,SCTV,
19055,Astro Shaw,MY
19450,SAS Films,
22028,NiKo Film,DE
22614,Skylar Pictures,
23695,87 FILMS,
23696,WGE Pictures,
24289,CineGear Productions,
25859,Sampaguita Pictures,PH
25989,Merdeka Film Productions,MY
26999,China Film Company,
28673,Paramedia,
29062,Final Cut for Real,DK
29063,Piraya Film,NO
29064,Novaya Zemlya,
29618,Cathay-Keris Film Productions,
29648,Kalyana Shira Film,
29666,Hitmaker Studios,
30815,Promised Land Productions,
31382,P.T. Inem Film,
31521,Alenia Pictures,ID
31531,Linda Film,
37348,Dapur Film Production,
37349,Bentang Pictures,
37428,Triple A Films,ID
42713,PT Empat Gajah Film,
42715,Budiana Film,
42804,Video Tape Corp.,
42805,Pusat Perusahaan Film,
42831,Virgo Putra Film,
42833,P.T. Hargulin Film,
42838,PT Andalas Kencana Film,
43447,Putaar Films,
44176,PT Sarinande Films,
44598,108 Sound Studio,
46173,Magma Entertainment,
46175,Magma Entertainment,
46519,My Dream Pictures,
46840,Legacy Pictures,
48841,First Media Productions,
48842,Investasi Film Indonesia,
49114,Creative Motion Pictures,
49163,Imajika Films,
50854,Komando Pictures,
50885,Karuna Pictures,
51418,MSH Films,
51419,Pic[k]lock Production,
51420,Yayasan Keluarga Besar HOS Tjokroaminoto,
51421,Torabika,
51422,Visinema Pictures,ID
51443,Renee Pictures,
54306,Bombero International,
55802,MM2 Entertainment,SG
56475,Staron Film,PL
56879,Add Word Productions,ID
57909,TVS Films,
61294,MSV Pictures,
61689,Mizan Productions,
63782,Miles Productions,
63784,Miles Films,ID
63794,Babibutafilm,ID
64465,Snapshot Films,
64759,Sentra Films,ID
64837,Mitra Pictures,
65106,PT Kanta Indah Film,ID
65114,K2K Production,ID
65369,Awan Sinema Kreasi Production,
65586,E&W Films,
67475,Manny Films,FR
68447,Lola Amaria Production,
68949,Mega Entertainment,
69003,MNC Pictures,ID
69317,Flick Productions,
70180,Livincinema,
72491,Brown Entertainment,
72727,Indika Entertainment,
72728,cinevisi,
72754,Nation Pictures,
72758,Shooting Star,
72759,SET Film Workshop,
72760,mizan production,
72761,Falcon Pictures,ID
72766,Vera Lasut Production,
72771,Wanna B Pictures,
72780,Square Box Films,
72781,"Agency, The",
72782,Dreamscape Pictures,
72889,Astro Shaw Sdn Bhd,
72907,Jelita Alip Film,
73467,Andolfi,FR
73691,Golden Gate Film Co.,
73921,Indie Pictures,
74244,Rumah Kreatif 23,
74246,Indika Pictures,
74281,Bosan Berisik Lab,ID
74282,Buttonijo Films,ID
74336,PT Rexinema Multimedia Pratama,
74350,FAM Pictures,
74352,Oreima Films,
74388,Demi Istri Production,ID
74389,TS Media,
74427,Tujuh Bintang Sinema,
74449,Upbeat Publishing,
74450,Indie Picture Productions,
76548,Metafor Pictures Production,
76586,Akanga Film Asia,SG
76951,13 Entertainment,
76990,Kotak Hitam,
77167,Salto Films,
77606,700 Pictures,
78600,Sebelas Sinema Pictures,
78678,PT Virgo Putra Film,
78889,BIC Pictures,ID
78890,LifeLike Pictures,ID
78913,Screenplay Films,ID
78915,Kaninga Pictures,ID
78916,Lingkar Karya Pratama,
79093,Inkopad,
79094,Benoa,
79095,Cinema Delapan,
79103,Munk Studio - Polish Filmmakers Association,
79524,Citra Visual Cinema,
79527,PT. PERFINI FILMS,ID
79888,PT Cancer Mas Film,
79918,United States Information Agency (USIA),US
80228,Jakarta Media Syndication,
80231,Bidar Batavia Group Film,
80232,SSS Pictures,
80624,Muti Didi Film,
80741,EC Entertainment,
81484,Capitol Entertainment,
81973,Genta Buana Paramita,
82369,Himalaya Pictures,
82371,KawanKawan Film,
83704,PT Parkit Films,ID
84442,MAX Pictures,ID
85659,MNC Animation,ID
86442,Andromeda Pictures,
86667,Limelight Pictures,ID
86668,MP Pro Pictures,
86824,Big Hit Entertainment,KR
87477,Screenplay Infinite Films,
87881,Astral Picture,
88028,Sukma Putera Films,
88198,ACT,
88596,Lo-Fi Flick,
88758,Three O Eight Film,
89264,In Vivo Films,FR
89910,Satria Heroes Films,
90345,Darihati Films,
90346,Makkita Cinema Production,
90347,Kompas Gramedia Studio,
90356,Day For Night Films,
90391,Studio Sembilan Production,ID
90392,Leica Production,
90456,MMA Pictures,
90484,Angka Fortuna Sinema,
90486,Mahaka Pictures,
90501,Cangkir Kopi,
90502,Cangkir Kopi,
90542,Padi Padi Creative,ID
90665,IFS,
90707,Masima Contents+Channels,
90708,Tuta Media Corporation,
90713,Graffent Pictures,
90861,Visualika Production,ID
90862,PT Bumi Prasidhi Bi-Epsi,
90986,Cinesurya Pictures,ID
92098,Technicolor Thailand,
92099,Sisterbros Nationtainment,
92100,Digital Film Maker,
92244,PT Bola Dunia Film,ID
92682,Maarif Production,
92981,Xing Xing,
94510,DDG Production,ID
95048,CMI Pictures,
95160,Palari Films,ID
95280,Rumah Semut,
95385,Fourcolours Films,ID
96133,IFI Sinema,
96465,Sinemart Pictures,
96524,Karnos Film,
96617,Alkimia Production,
96655,PT Cinta Alam Semesta Film,
96833,Anak Negeri Film,
97232,Night Bus Pictures,
97589,Film University Babelsberg Konrad Wolf,DE
97989,Scottish Documentary Institute,
98029,DCU Production,
98262,Aksa Tujuh,
98372,Art2Tonic,
99230,Firefly Cinema,ID
99376,Dee Company,
99502,PŌTOCOL,SG
99622,Tanakhir Films,
99680,PT Nusantara Film,ID
99836,PT. Gatot Brajamusti Film,
99937,786 Production,
100633,Anak Bangsa Pictures,
100640,Endeavor Content,US
100692,Inspira Pictures,
100816,Musica Studio's,
100817,Berlian Entertainment,
101618,N.V. Harapan Film,
101620,Bogalakon Pictures,
101623,Cineria Films,
101625,Treewater Productions,
101886,Viu Original Film,
102100,Chanex Ridhall Pictures,
102537,Lubis Team Worker,
102545,PT. Rana Artha Mulia,
102972,Movie Studio Bali,ID
103106,Bumilangit Studios,
103109,Drelin Amagra Pictures,
103439,Studio Batu,
103870,HOOQ Original Production,
103957,Liquid Media,
103959,PT Adhi Yasa Film,
104131,Credo Pictures,
104172,Aurora Media,
104173,PT Elang Perkasa Film,ID
104208,Rumah Tujuh Langit,
104381,Warna Pictures,
104386,Bedasinema Pictures,
104856,Pichouse Films,
104945,RA Pictures,ID
104946,Sky Media,ID
104948,Umbara Brothers Films,
105772,Raviman Film,
105796,Inhype Pictures,
105803,Kipas Communication,
105845,Focus Films Ltd.,
106190,Union Film Coy,
106610,PT Gramedia Film,
106623,Padepokan Limboto,
106624,Kolong Sinema,ID
106625,Mercusuar Production,
106723,PT Aries Film,
106737,PT Tobali Indah Film,
106756,Imaginarium Entertainment,
106784,Inno Maleo Films,
106804,Indonesia Sinema Persada,
106817,Nant Entertainment,
106838,Intercept Filmcraft,
106880,Moviesta Pictures Production,ID
106886,Mira Media Group,
106887,Ezy Productions,
106899,E-Motion Entertainment,
106901,Intimasi Production,
106990,M&M Entertainment,
107030,Rapi Film,
107090,Satu Merah Panggung,
107180,Aletta Pictures,
107187,Rumah Karya Sjuman,ID
107189,Phinaeon Entertainment,
107407,Multivision Plus,ID
107497,Wong Cilik's,
107804,Mooryati Soedibyo Cinema,
107830,Komodo Films,
107897,Ivanhoe Pictures,US
107906,PT Grandiz Media Production,
107948,Anami Films,
107963,PT Velvet Silver Cinema,
108089,PT. Bola Mas Jaya Film,
108113,Timur Pictures,
108408,Lingkar Film,
108409,WP Pictures,
108584,Studio Antelope Indonesia,ID
109256,LA Lights Indie Movie,
109395,Green Glow Pictures,
109545,W Film Production,
109673,Lupus Entertainment,
109675,Merah Production,
109786,The Annex Entertainment,
109867,OPPO,
109959,Arcadia Productions,
110784,Super 8mm Studio,ID
110785,Crossfade Audio Post,
111542,Mahakarya Pictures,ID
111869,TBS Films,
112616,PT Ekapraya Film,
112908,Megapilar Pictures,
112910,Ideosource Entertainment,ID
113009,Hungry Heart Project,
113214,Stro TV,
113847,British Council,
113903,Blue Water Films,
113942,Ace Motion Pictures,MY
113983,SCM,
114901,Limaenam Films,ID
115288,Lutung Poetih,
115317,Layar Production,
115622,Muara Prima Entertainment,
115688,Perusahaan Film Negara,
115819,Divisi Humas Polri,ID
115903,Big Stories,AU
115946,PT Nugraha Mas Film,
115947,PT Surya Artiwibawa Film,
115950,PT Diwangkara Citra Swara Film,
115951,PT Safari Sinar Sakti Film,
116043,Crazyone!!! Films,ID
116044,Matta Cinema,
116169,PPFN,
116185,Dipa Jaya Film,
116587,Open Door Films,
116588,Silver Bullet Films,
116832,Harald House,BE
117091,Summerland,
117092,PT Pratama Pradana Picture,
117093,Grafent Production,
117132,Stay Co Media,
117514,A Pict Films,
117691,Batavia Pictures,ID
117945,Skytree Pictures,
117948,Air Films,
117949,Erwin Kallo Film,
118071,Internasional Aries Angkasa Film,
118072,Prasidi Tera Film,
118167,Adiksi Films,
118168,Nimpuna Sinema,
118169,Bukalapak Pictures,
118234,Forum Lenteng,ID
118677,Watchdoc,
118805,Intercept Film Craft,
119590,Komunitas Film Kupang,
119592,Dinas Kebudayaan DIY,ID
119593,Kebon Studio,
119747,Ramayana Department Store,
119782,Goodwork,
119784,Millennia Pictures,
119843,Multi Buana Kreasindo,
119976,PT Interstudio,
120003,Scene Avenue Movies,
120005,Himaya Studio,
120006,Jder Syndicate,
120007,YPM Salman ITB,
120008,Salman Film Academy,
120010,TMF Films,
120014,Kalyana Shira Foundation,ID
120015,Tembi Rumah Budaya,
120321,Cinema Darurat,
120390,Swan Studio,
120438,Enam Sembilan Production,
120441,Filosofi Dunia Khayalan,
120442,Kez Production,
120502,Wahana Kreator,
120796,HRV Production,
120857,KawanKawan Media,ID
120981,Timeless Pictures,CA
120982,Reflection Pictures,
120983,Elior Pictures,
120984,R1 Pictures,
121034,Northcliff Pictures,
121036,Majelis Ulama Indonesia,
121316,PT Christine Hakim Film,ID
121363,Kikuk! Films,ID
121548,BASE Entertainment,ID
121549,Mega Pilar Pictures,
121551,Majelis Az-Zikra,ID
121557,Scream Film,
121558,Golwind Entertainment,
121565,Duta Lintas Samudra,
121569,Prashanti Widya Sinema,
121580,Backpage Production,
121581,Tujuh Semut,
121681,Panji Prasetyo Pictures,
121987,Aman Palestin,
121988,The Pretty Boys Pictures,
122050,Griya Pelopor Budaya,
122894,Blue Water Studios,
123003,Mannakala Pictures,
123004,Bersahaja,
123006,Prama Gatra Film,
123040,Millenium Visitama Film,
123152,Time International Pictures,
123153,Damn! I Love Indonesian Movies,
123154,East West Synergy,
123155,Melon Indonesia,
123156,Buddy Buddy Pictures,
123157,Nara Prayatna Tama,
123166,Gerilya Films,
123167,Dagoe Film Workshop,
123216,Komisi Pemberantasan Korupsi,
123217,Management System International,
123218,USAID,
123219,SBO Films,
123220,KG Productions,FR
123221,WWF-Indonesia,
123222,SET Film,
123236,iflix,
123277,Happy Ending Pictures,
123282,Underdog Fightback,
123283,SKV Movie Entertainment,
123315,Simple Pictures,
123342,Elora Films,
123358,Yusuf/Widjaja Production,
123385,Cerita Films,
123400,Tropicana Slim,
123429,DT Films,
123434,Sultan Sinergi Indonesia,
123435,Garuda Sinergi Putaar Sinema,
123456,Garin Nugroho Workshop,
123465,Ford Foundation,ID
123486,Tentrem 9 Film,
123487,Retro Pictures,
123488,Indo Broadcast Production,
123492,ANP Films,
123498,Narz Entertainment,
123533,Rumah Film,
123568,Purin Pictures,TH
123583,Viddsee,
123715,Go Studio Original,
124000,PT Dewi Film,
124001,Kodam Vi Siliwangi,
124039,GENFLIX,
124040,Tobali Putra Production,
124182,Kaskus,ID
124246,0708 Films,
124283,SK Global Entertainment,US
124354,Putra Kusuma Production,
124476,Reload Pictures,
124509,Mr. Rius Production,
124531,P2TM Makassar,
124803,"PT. Surya Indonesia Medan Film, Corp.",
125034,StarVision Production,
125062,IDN Media,
125063,blibli.com,
125064,XRM Media,US
125065,PT Rhoma Irama Film,
125067,Variant Circle Production,
125070,Seven Sunday Films,
125071,Onasis Media Intertaimen,
125074,Menara Alisya Multimedia,
125080,Commov,
125081,Swarna Productions,
125195,Camila Internusa Film,
125196,Salto Productions,
125255,PT Garuda Film,
125362,Gempita Tjipta Perkasa,
125482,PT One Take Pictures,ID
125491,MM Creations,
125492,Shakermedia,
125495,Kreativa Art,
125496,Midessa Pictures,
125497,Black White Pictures,
125701,ReelOne Project,ID
125702,Halaman Belakang Film,ID
125738,terasmitra,
125739,impro visualstoryteller,
125741,Selenophile Project,
125974,MRG Film,
125975,Mabes Polri,
125978,PAW Pictures,
126045,Dash Pictures,
126046,Ardan Radio,
126153,Dynamic Pictures,
126273,PT Graha Visual Nusantara,
126274,Avatara88,
126323,Doa Mama Pictures,ID
126362,Upi Production,
126437,Bebas Production,
126454,Lembaga Kreatifitas Kemanusiaan,
126455,PT Gunja Film,
126456,HD SineARts Productions,
126534,One Star Productions,
126592,ceritamu.com,
126593,Bintang Timur Films,
126594,Dreamcatcher Pictures,
126598,Putra Pictures,
127538,ACMI,
127539,Pasar Malam Film,
127752,Akasacara Film,
128018,Applecross Production,
128232,9 Advertising Sabah,
128267,Satria Dewa Studio,
128268,Caravan Studio,
128333,CJ CGV,KR
128448,Flying Fish Pictures,
128449,PT Indosiar Visual Mandiri,
128496,Inti Makmur Internasional,
128632,Lens Cinema,
128719,Cineprime Pictures,
128720,Jose Poernomo Films,
128741,Bro's Studio,
128742,Blue Sheep Entertainment,
128770,Visi Anak Bangsa,
128771,Studiokasatmata,
128772,PT Persari Films,ID
128775,Rentjong Film Corp,
128776,Refic Film,
128777,Jajasan Gedung Pemuda Medan,
128802,FTI UMI,
128807,TSA Komunika,
128808,P-Project,
128809,Eureka Production,
128811,PT Aries Raya International,
128812,PT Far Eastern Film Co,
128813,PT International Aries Angkasa Film,
128814,PT Insantra Film,
128815,PT International Aries Angkasa Film,
128844,PT Inem Film,
128849,PT Citra Wiwitan Film,
128953,Gorylah Pictures,
129001,Golden Arrow,
129061,Langikula Pictures,
129062,Cinemora Pictures,
129075,TNI Angkatan Udara,
129351,Summer Films,
129354,Cinekadi Pictures,
129386,"Faculty Film & Television, Jakarta Institute of Art",
129775,GonzoDocs,NO
129776,Ambolt Audio,NO
129872,Hore Besok Libur!,
129873,Anarkhi Film,
130263,PT Prasidi Teta Film,
130305,PT 27ant Pictures,
130357,Alimi Pictures,
130358,Rajawali Indonesia,
130365,The Little Giantz,
130379,Kalachakra Media Sinema,
130409,FFTV IKJ,ID
130532,Paragon Pictures,
130533,NFC Indonesia,
130534,MD Animation,
130597,Mahaka Media,
130646,Progresinema,
130686,PT Sanggar Film,
130737,Q Production,ID
131426,Yadifaiz Pictures,
131472,Frame Ritz Picture,
131473,Triximages,
131532,Wikwik Production,
131536,I Sinema,
131541,RedSight Films,
131557,Tejo Laras Madya Foundation,
131558,Petik Inc.,
131732,PT Sandy Film,
131901,Sleepwalking Studio,
131961,Mangunjaya Production,
131965,Cinemawithoutwall,
131966,Lumut Ijo Production,
132229,PT Manggala Perkasa Film Tobali Indah Film,
132278,P.T Damee International,
132510,Sinemasochist,
132520,Carnival Films,ID
132521,Pusbangfilm Kemendikbud,
132718,Embun Muvi 2019,
132719,Imagin3 Reality Films,
132720,Brown Pictures,
132721,Zettamind Studios,
132727,Agrimovie,
132734,Labs Pictures,
133274,Kamarkecil Studio,
133333,Two Islands Digital,
133350,Visi Optima Indonesia,
133552,Lemonoir FIlms,
134218,Ravacana Films,ID
134776,Spasi Moving Image,
135017,PT Firman Mercu Alam Film,
135018,PT Sjam Studio Film Production,
135141,PT Naviri Film Production,
135144,PT Cipta Permai Indah Film,
135145,PT Hanna Internasional Film,
135298,Grade F,
135301,Mediatif Films,
135304,Mangkus,
135897,Kindofkine Project,
135978,Lingkar Alumni Indie Movie,
136128,Kharisma Production,
137131,PT Firman Abadi Film Production,
137133,Shutter Pictures,
137134,Bluesummer Films,
137146,Rumah Semut Film,
137301,Hompympaa,
137302,Studio DG,
137455,Screenmedia Films,
138384,The Nature Producers,
138420,Shady Shady People Production,
138436,Citra Sinema,
138594,Frontier Pictures,ID
138691,Relate Films,
139001,Liga Film Mahasiswa ITB,
139010,Libur Produktif Production,ID
139038,1/2 Rantau Production,
139360,Federasi Buruh Lintas Pabrik,
139391,Super Media Pictures,
139621,Nivory Pictures,
139671,Applecross Production Indonesia,
139964,Pixaa Studio,
140082,The United Team of Art,
140129,Hisstory Films,
140145,Aksacara Film,
140404,JAP HD OFFICE,
140407,Aranck Project,ID
140408,Kura Kura Terbang,
140469,PIM Pictures,
140524,ASA Film,
140525,Khatulistiwa Film,
140659,Kamarkosan Films,
140660,Nyebar Film,
140675,MD Pictures,
141022,Noise Films,
141060,RT Films,
141069,Freemovie Pictures,
141316,Gambar Bergerak,
141601,Bad Monkey Studios,
141657,Harry Global Production,
141658,Silent D Picture,
141716,Henso Production,
142268,Raincinema Pictures,
142709,Temata,
143888,Aztec Productions,
143889,UMN (Universitas Multimedia Nusantara),ID
144527,Kampung Halaman Foundation,
144660,Partisipasi Indonesia,
144970,Ingatan Visual,
144990,Berpijar,
144991,Retto Cinema,
145048,Bekantan Pictures,ID
145149,Cipta Media Ekspresi,
145150,Hizart Studio,
145197,PT Kharisma Jabar Film,
145231,PT Galunggung Putra Perkasa Film,
145239,Mola TV,
145240,Titimangsa Foundation,
145538,Pijaru,ID
145539,Ruma Kreativ,
145958,PT. Rembulan Semesta Film,
146297,Anch Production,
146448,Kinovia,
