id,judul,ringkasan,popularitas,dewasa,original_language,id_negara,negara,id_perusahaan,perusahaan,negara_asal_perusahaan,durasi,pendapatan,tanggal_rilis,jumlah_vote,vote_rata_rata,sertifikasi,id_imdb,tahun_rilis
683328,The Big 4,Seorang detektif wanita bekerja sama dengan empat pembunuh bayaran untuk menyelidiki pembunuhan ayahnya.,2329.498,False,id,ID,Indonesia,138594.0,Frontier Pictures,ID,141,0,2022-12-19,50,6.99,M18,tt15528292,2022
180299,The Raid 2: Berandal,"RAMA (Iko Uwais) adalah seorang polisi baru yang meninggalkan ISA, istrinya yang tengah hamil tua untuk melakukan tugas berbahaya. Setelah berhasil mempertahankan dirinya dari 30 lantai apartemen milik raja gembong narkotik TAMA, RAMA direkrut oleh BUNAWAR, kepala polisi yang dikenal jujur dan mempunyai reputasi yang bersih, sebagai polisi yang menyamar.",27.792,False,id,ID,Indonesia,58.0,Sony Pictures Classics,US,150,6566916,2014-03-27,1974,7.63,,tt2265171,2014
925786,Pengabdi Setan 2: Communion,"Beberapa tahun setelah berhasil menyelamatkan diri dari kejadian mengerikan yang membuat mereka kehilangan ibu dan si bungsu Ian, Rini dan adik-adiknya, Toni dan Bondi, serta Bapak tinggal di rumah susun karena percaya tinggal di rumah susun aman jika terjadi sesuatu karena ada banyak orang. Namun, mereka segera menyadari bahwa tinggal bersama banyak orang mungkin juga sangat berbahaya, jika mereka tidak sangat mengenali siapa saja yang menjadi tetangga mereka. Pada sebuah malam penuh teror, Rini dan Keluarganya harus kembali menyelamatkan diri. Tapi kali ini, mungkin sudah terlambat untuk lari.",21.414,False,id,ID,Indonesia,7872.0,Rapi Films,ID,119,0,2022-08-04,26,7.308,13+,tt16915972,2022
94329,Serbuan Maut,"ekelompok tim SWAT tiba di sebuah blok apartemen yang tidak terurus dengan misi menangkap pemiliknya seorang raja bandar narkotik bernama TAMA. Blok ini tidak pernah digerebek atau pun tersentuh oleh Polisi sebelumnya.",22.482,False,id,FR,France,58.0,Sony Pictures Classics,US,101,9148519,2011-11-29,2844,7.419,,tt1899353,2011
467012,Pengabdi Setan,"Setelah Rini ditinggal mati ibunya, ada sesuatu peristiwa yang terus menganggu keluarga mereka.",17.578,False,id,ID,Indonesia,7036.0,CJ Entertainment,KR,107,0,2017-09-28,202,6.748,,tt7076834,2017
835294,Keramat 2: Caruban Larang,,16.739,False,id,ID,Indonesia,14140.0,Starvision Plus,ID,94,0,2022-11-24,2,7.2,13+,tt21116308,2022
858815,Penyalin Cahaya,,18.116,False,id,ID,Indonesia,78915.0,Kaninga Pictures,ID,130,0,2021-10-08,227,6.996,,tt13729220,2021
403605,Headshot,"Pemuda misterius bangun tersentak dari keadaan koma selama berbulan-bulan, dirawat hingga pulih oleh seorang murid kedokteran bernama Ailin ketika ditemukan sekarat dengan sebuah luka tembakan di kepala. Seperti sebuah kelahiran baru dan, menyadari pemuda ini telah kehilangan ingatan dan indentitas dirinya, Ailin menamakan pemuda tersebut Ishmael.",15.701,False,id,ID,Indonesia,87477.0,Screenplay Infinite Films,,117,0,2016-09-24,371,6.449,,tt5147214,2016
503902,Sabrina,"MAIRA hidup bahagia di pernikahan barunya bersama AIDEN, pembuat boneka Sabrina. Tapi kebahagiaan mereka belum sempurna karena VANYA, anak angkat sekaligus keponakan Aiden yang yang piatu belum bisa menerima kehadiran Maira sebagai ibunya karena Vanya masih belum bisa merelakan kepergian ANDINI, bundanya yang sudah meninggal. Suatu hari, Vanya melakukan permainan ‘Pensil Charlie’ untuk memanggil bundanya dan kejanggalan-kejanggalan pun mulai terjadi. Maira dan Aiden Adak percaya, hingga akhirnya Maira mengalami serentetan kejadian menakutkan dan mereka melihat sendiri sosok Andini. Maira pun memanggil BU LARAS, seorang paranormal yang dulu pernah membantunya. Tapi Andini ternyata bukanlah Andini, melainkan iblis keji bernama BAGHIAH yang menetap di boneka Sabrina dan menginginkan tubuh manusia",15.639,False,id,ID,Indonesia,29666.0,Hitmaker Studios,,98,0,2018-07-12,160,5.441,,tt7981492,2018
449992,The Night Comes for Us,Seorang tukang pukul bernama Ito (Joe Taslim) kembali ke keluarga kriminalnya di Jakarta setelah bekerja dengan sebuah Triad Asia Tenggara yang kejam. Dia terperangkap dalam sebuah intrik pengkhianatan dan kekacauan saat Triad tersebut memulai sebuah kampanye berdarah untuk ekspansi teritorial mereka.,15.54,False,id,ID,Indonesia,12142.0,XYZ Films,US,121,0,2018-10-05,558,6.803,,tt6116856,2018
190899,Dead Mine,,13.733,False,id,ID,Indonesia,14446.0,Infinite Studios,ID,91,0,2012-09-27,91,4.555,16,tt2171847,2012
976792,Argantara,,25.929,False,id,ID,Indonesia,29666.0,Hitmaker Studios,,105,0,2022-12-29,1,2.0,13+,tt20224156,2022
1037116,"KKN di Desa Penari: Luwih Dowo, Luwih Medeni",,17.639,False,id,ID,Indonesia,5344.0,MD Pictures,ID,175,0,2022-12-29,0,0.0,17+,,2022
1026836,Qodrat,,15.489,False,id,ID,Indonesia,7872.0,Rapi Films,ID,102,0,2022-10-27,4,7.625,17+,tt18436986,2022
786535,Ivanna,"Ketika Ambar & Dika pindah setelah kematian orang tua mereka, tidak pernah terpikirkan apa yang seharusnya menjadi awal baru berubah menjadi awal kesengsaraan terbesar dalam hidup mereka. Semua akibat kemampuan Ambar merasakan yang tak terlihat, yang didapatkan setelah mengalami gangguan penglihatan. Berbeda dengan sambutan didapat di Panti Jompo Masa Toea, Ambar mendapatkan bayangan masa lalu yang menakutkan. Dia menemukan bahwa telah terjadi pembantaian di rumah yang sama bertahun-tahun yang lalu. Sebuah entitas wanita Belanda, Ivanna, muncul dalam visi Ambar, memberinya sekilas tragedi di mana dia dipenggal oleh imperialis keji. Pada hari Idul Fitri, Nenek Ani ditemukan tewas dalam genangan darah, dipenggal. Ambar menduga tragedi itu mungkin terkait dengan penemuan peti yang berisi pernak-pernik dan patung tanpa kepala di ruang bawah tanah paviliun panti jompo. Sekarang, Ambar harus menyelesaikan dendam makhluk yang perlahan merayap ke dalam hidup mereka, bahkan untuk kepala mereka.",12.929,False,id,ID,Indonesia,5344.0,MD Pictures,ID,103,0,2022-07-14,4,5.6,17+,tt11448138,2022
800669,A Perfect Fit,"Saat pergi bersama temannya ke satu tempat, Saski (Nadya Arina) diramal oleh seseorang yang membawanya ke sebuah toko sepatu. Saski kemudian memasuki toko itu untuk memilih sepatu yang cocok. Tanpa ia sadari kunjungannya ke toko sepatu itu memicu sederet kejadian yang akan mengubah hidupnya.",9.216,False,id,ID,Indonesia,14140.0,Starvision Plus,ID,112,0,2021-07-15,60,7.2,,tt13606090,2021
624091,Sri Asih,,10.651,False,id,ID,Indonesia,46840.0,Legacy Pictures,,134,0,2022-11-17,3,7.8,13+,tt10994712,2022
964290,Euphoria,,12.103,False,id,ID,Indonesia,106756.0,Imaginarium Entertainment,,130,0,2011-09-22,1,2.0,,tt2285463,2011
524738,Sebelum Iblis Menjemput,"Alfie dan Nara harus kembali bertempur dengan pasukan iblis. Alih-alih terbebas dari teror, Alfie dan Nara diculik oleh sekumpulan orang tak dikenal. Mereka berpendapat bahwa Alfie merupakan sosok “tangguh” dan hanya dirinyalah yang dapat menjalankan ritual agar mereka terbebas dari teror sosok iblis Ayub. Ayub merupakan bapak angkat sekaligus pengasuh yang mati terbakar di panti asuhan semasa mereka kecil. Ia juga pengikut iblis yang sama seperti ayah Alfie. Alfie pun setuju untuk membantu mereka dan menjalankan ritual. Tak terduga ritual ini justru membangkitkan sosok Ayub secara utuh dan sosok iblis Molokh yang telah mengincarnya sedari dahulu.",10.443,False,id,ID,Indonesia,46840.0,Legacy Pictures,,110,0,2018-08-09,128,6.164,,tt8765496,2018
646696,Mariposa,"Iqbal Guanna seperti kupu-kupu Mariposa bagi Natasha Kay Loovy atau Acha. Tiap kali didekati ia selalu menghindar. Acha bertekad ingin mendapatkan hati Iqbal, seorang cowok cakep, pintar dan dikenal berhati dingin. Sahabat Acha, Amanda, berusaha mencegah niat Acha untuk mendekati Iqbal. Acha yakin, jika pun hati Iqbal sekeras batu, Acha adalah air yang menetesinya setiap waktu, hingga batu itu akan pecah dan menerima dirinya.",8.213,False,id,ID,Indonesia,14140.0,Starvision Plus,ID,117,0,2020-03-12,5,6.9,13+,tt11470064,2020
203113,5 cm,"Genta, Arial, Zafran, Riani dan Ian adalah lima remaja yang telah menjalin persahabatan belasan tahun lamanya. Suatu hari mereka berlima merasa “jenuh” dengan persahabatan mereka dan akhirnya kelimanya memutuskan untuk berpisah, tidak saling berkomunikasi satu sama lain selama tiga bulan lamanya.",9.681,False,id,ID,Indonesia,16514.0,Soraya Intercine Films,ID,125,0,2012-12-11,18,7.111,NC-17,tt2713324,2012
34626,Merantau,"Di Minangkabau, Sumatra Barat, Merantau adalah tradisi yang harus dijalankan setiap anak laki-laki. Yuda (Iko Uwais), pesilat Harimau handal, dalam persiapan akhir untuk memulai perantauannya. Ia harus meninggalkan keluarganya, ibu tercinta, Wulan (Christine Hakim), dan udanya, Yayan (Donny Alamsyah), kenyamanan dan keindahan kampung halamannya, dan membuat nama untuk dirinya di keserabutan kota Jakarta.",9.573,False,id,ID,Indonesia,12141.0,Pt. Merantau Films,ID,134,154660,2009-08-06,181,6.533,,tt1368116,2009
123678,Jagal,,9.532,False,id,DK,Denmark,9120.0,Spring Films,GB,159,722714,2012-11-01,575,7.697,,tt2375605,2012
453276,Marlina si Pembunuh dalam Empat Babak,,9.155,False,id,ID,Indonesia,19055.0,Astro Shaw,MY,93,0,2017-05-15,55,6.936,,tt5923026,2017
380764,Valentine,"Batavia City, kota indah yang tak lagi aman dihuni. Perampokan, kekerasan, dan berbagai kriminalitas semakin hari semakin merajalela. Di tengah kota yang kacau ini, Srimaya, seorang pelayan kafe yang memiliki mimpi menjadi aktris tidak pernah menyangka kalau impiannya akan mengubah jalan hidupnya. Pertemuannya dengan seorang sutradara film dan sahabatnya, Bono dan Wawan, akan membawanya pada petualangan berbahaya penuh aksi mendebarkan dengan nyawa sebagai taruhannya. Mengubahnya dari gadis biasa menjadi pahlawan harapan Batavia City, Valentine. Yang bertugas membasmi kejahatan",8.53,False,id,ID,Indonesia,19450.0,SAS Films,,97,0,2017-11-23,68,5.853,16,tt5305352,2017
572468,Perempuan Tanah Jahanam,"Seorang operator pintu tol pergi ke kampung leluhurnya dengan harapan mendapatkan harta warisan, hingga akhirnya ia menemukan fakta yang meresahkan tentang masa lalunya.",7.282,False,id,ID,Indonesia,7036.0,CJ Entertainment,KR,1,0,2019-10-17,144,6.76,III ,tt9000302,2019
480007,Mata Batin,Seorang wanita tersiksa dengan kemampuan mata ketiga.,8.099,False,id,ID,Indonesia,29666.0,Hitmaker Studios,,112,0,2017-11-30,66,5.545,,tt6506146,2017
573106,Mata Batin 2,"Setelah adiknya meninggal, ALIA memutuskan untuk memulai hidup baru dengan tinggal di sebuah panti asuhan milik Bu LAKSMI dan Pak FADLI sekaligus kerja sosial di sana. Tapi Alia merasa ada yang janggal dengan panti itu. Apalagi NADIA, salah seorang anak panti yang ternyata juga memiliki mata batin terbuka seperti Alia, bisa mendengar suara misterius yang minta tolong dari seluruh dinding rumah. Alia dan Nadia pun membuka sebuah kamar misterius yang terkunci.",5.3,False,id,ID,Indonesia,29666.0,Hitmaker Studios,,115,0,2019-01-11,29,5.741,,tt8890582,2019
650129,Ali & Ratu Ratu Queens,"Ali yang pergi ke New York demi mencari ibunya, Mia yang telah lama menghilang dari kehidupannya. Film yang disutradarai oleh Lucky Kuswandi ini terinspirasi dari kisah nyata.",5.644,False,id,ID,Indonesia,95160.0,Palari Films,ID,100,0,2021-06-17,7,6.4,NR,tt11271990,2021
733057,Perempuan Bergaun Merah,,8.534,False,id,ID,Indonesia,7872.0,Rapi Films,ID,91,0,2022-11-03,2,7.25,13+,tt11710112,2022
667062,Satria Dewa: Gatotkaca,"Menyadari bahwa dia adalah keturunan gatotkaca dari keluarga Pandawa, Satrio harus berjuang untuk membuka kekuatan yang ada di dalam dirinya dan menghadapi Aswatama, prajurit Kurawa yang tersisa yang hidup untuk menghancurkan dunia dengan mengubah sejarah Bharatayudha.",7.318,False,id,ID,Indonesia,46173.0,Magma Entertainment,,129,0,2022-06-09,4,7.4,,tt10090058,2022
516700,Gundala,,7.173,False,id,ID,Indonesia,46840.0,Legacy Pictures,,123,0,2019-08-29,279,6.292,,tt8237172,2019
